::1, 2017-05-31 20:44:08, GET, /Corpus/default/other, HTTP/1.1, 200, 0.234387
::1, 2017-05-31 20:58:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.118947
::1, 2017-05-31 20:58:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.939231
::1, 2017-05-31 20:59:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.134872
::1, 2017-05-31 20:59:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.938894
::1, 2017-05-31 21:00:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.165782
::1, 2017-05-31 21:00:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.938566
::1, 2017-05-31 21:01:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.170739
::1, 2017-05-31 21:01:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.937516
::1, 2017-05-31 21:02:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.156027
::1, 2017-05-31 21:02:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.935030
::1, 2017-05-31 21:03:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.129663
::1, 2017-05-31 21:03:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.939816
::1, 2017-05-31 21:04:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.129738
::1, 2017-05-31 21:04:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.935363
::1, 2017-05-31 21:05:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.112399
::1, 2017-05-31 21:05:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.937873
::1, 2017-05-31 21:06:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.172279
::1, 2017-05-31 21:06:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.931077
::1, 2017-05-31 21:07:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.132308
::1, 2017-05-31 21:07:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.934794
::1, 2017-05-31 21:08:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.135386
::1, 2017-05-31 21:08:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.934472
::1, 2017-05-31 21:09:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.141408
::1, 2017-05-31 21:09:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.932916
::1, 2017-05-31 21:10:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.134524
::1, 2017-05-31 21:10:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.933760
::1, 2017-05-31 21:11:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.145194
::1, 2017-05-31 21:11:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.930619
::1, 2017-05-31 21:12:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.126837
::1, 2017-05-31 21:12:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.932296
::1, 2017-05-31 21:12:39, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.163996
::1, 2017-05-31 21:12:52, GET, /Corpus/default/btn1, HTTP/1.1, 200, 0.267351
::1, 2017-05-31 21:12:59, POST, /Corpus/default/btn1, HTTP/1.1, 303, 0.082409
::1, 2017-05-31 21:13:01, GET, /Corpus/default/other, HTTP/1.1, 200, 1.982378
::1, 2017-05-31 21:13:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.103574
::1, 2017-05-31 21:13:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.946436
::1, 2017-05-31 21:14:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.123749
::1, 2017-05-31 21:14:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 1.038528
::1, 2017-05-31 21:14:08, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.070664
::1, 2017-05-31 21:14:12, GET, /Corpus/default/other, HTTP/1.1, 500, 1.838472
::1, 2017-05-31 21:14:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000823
::1, 2017-05-31 21:14:20, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.064672
::1, 2017-05-31 21:14:24, GET, /Corpus/default/other, HTTP/1.1, 200, 1.768288
::1, 2017-05-31 21:14:24, GET, /Corpus/static/images/favicon.ico, HTTP/1.1, 200, 0.000736
::1, 2017-05-31 21:14:49, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.049361
::1, 2017-05-31 21:14:52, GET, /Corpus/default/other, HTTP/1.1, 200, 1.741613
::1, 2017-05-31 21:14:52, GET, /Corpus/static/images/favicon.ico, HTTP/1.1, 200, 0.000749
::1, 2017-05-31 21:15:00, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.052236
::1, 2017-05-31 21:15:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.121956
::1, 2017-05-31 21:15:02, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.063870
::1, 2017-05-31 21:15:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 1.035206
::1, 2017-05-31 21:15:04, GET, /Corpus/default/other, HTTP/1.1, 500, 1.901941
::1, 2017-05-31 21:15:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000706
::1, 2017-05-31 21:15:48, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.054612
::1, 2017-05-31 21:15:51, GET, /Corpus/default/other, HTTP/1.1, 500, 1.715028
::1, 2017-05-31 21:15:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000660
::1, 2017-05-31 21:15:55, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.065014
::1, 2017-05-31 21:15:58, GET, /Corpus/default/other, HTTP/1.1, 200, 1.781900
::1, 2017-05-31 21:15:59, GET, /Corpus/static/images/favicon.ico, HTTP/1.1, 200, 0.001178
::1, 2017-05-31 21:16:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.129962
::1, 2017-05-31 21:16:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.938536
::1, 2017-05-31 21:16:19, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.064565
::1, 2017-05-31 21:16:23, GET, /Corpus/default/other, HTTP/1.1, 500, 1.834413
::1, 2017-05-31 21:16:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000853
::1, 2017-05-31 21:16:27, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.054204
::1, 2017-05-31 21:16:31, GET, /Corpus/default/other, HTTP/1.1, 200, 1.747795
::1, 2017-05-31 21:16:31, GET, /Corpus/static/images/favicon.ico, HTTP/1.1, 200, 0.000788
::1, 2017-05-31 21:16:56, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.090761
::1, 2017-05-31 21:16:59, GET, /Corpus/default/other, HTTP/1.1, 200, 1.833620
::1, 2017-05-31 21:16:59, GET, /Corpus/static/images/favicon.ico, HTTP/1.1, 200, 0.001044
::1, 2017-05-31 21:17:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.127232
::1, 2017-05-31 21:17:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.941308
::1, 2017-05-31 21:18:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.110168
::1, 2017-05-31 21:18:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.943296
::1, 2017-05-31 21:18:35, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.052186
::1, 2017-05-31 21:18:38, GET, /Corpus/default/other, HTTP/1.1, 200, 1.790375
::1, 2017-05-31 21:18:39, GET, /Corpus/static/images/favicon.ico, HTTP/1.1, 200, 0.000739
::1, 2017-05-31 21:18:51, GET, /admin/default/edit/Corpus/views/default/btn1.html, HTTP/1.1, 200, 0.125367
::1, 2017-05-31 21:18:51, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.024774
::1, 2017-05-31 21:19:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.150603
::1, 2017-05-31 21:19:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 1.036766
::1, 2017-05-31 21:19:11, GET, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.070442
::1, 2017-05-31 21:19:27, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.068196
::1, 2017-05-31 21:19:31, GET, /Corpus/default/other, HTTP/1.1, 200, 1.807320
::1, 2017-05-31 21:19:32, GET, /Corpus/static/images/favicon.ico, HTTP/1.1, 200, 0.001140
::1, 2017-05-31 21:19:47, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.055325
::1, 2017-05-31 21:19:49, GET, /Corpus/default/other, HTTP/1.1, 200, 1.621336
::1, 2017-05-31 21:19:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000874
::1, 2017-05-31 21:20:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.132970
::1, 2017-05-31 21:20:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 1.039139
::1, 2017-05-31 21:20:13, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.053962
::1, 2017-05-31 21:20:17, GET, /Corpus/default/other, HTTP/1.1, 200, 1.875669
::1, 2017-05-31 21:20:17, GET, /Corpus/static/images/favicon.ico, HTTP/1.1, 200, 0.001171
::1, 2017-05-31 21:20:48, GET, /admin/default/edit/Corpus/views/default/user.html, HTTP/1.1, 200, 0.112541
::1, 2017-05-31 21:20:48, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.023482
::1, 2017-05-31 21:21:02, POST, /admin/default/create_file, HTTP/1.1, 200, 0.071231
::1, 2017-05-31 21:21:02, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.167006
::1, 2017-05-31 21:21:02, GET, /admin/default/edit/Corpus/views/other.html, HTTP/1.1, 200, 0.236248
::1, 2017-05-31 21:21:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.240221
::1, 2017-05-31 21:21:02, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.039372
::1, 2017-05-31 21:21:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 1.029753
::1, 2017-05-31 21:21:05, POST, /admin/default/edit/Corpus/views/other.html, HTTP/1.1, 200, 0.050527
::1, 2017-05-31 21:21:07, GET, /Corpus/default/btn1, HTTP/1.1, 200, 0.087924
::1, 2017-05-31 21:21:17, POST, /Corpus/default/btn1, HTTP/1.1, 303, 0.072246
::1, 2017-05-31 21:21:19, GET, /Corpus/default/other, HTTP/1.1, 200, 1.890018
::1, 2017-05-31 21:22:02, GET, /admin/default/edit/Corpus/views/default/index.html, HTTP/1.1, 200, 0.110758
::1, 2017-05-31 21:22:02, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.013241
::1, 2017-05-31 21:22:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.109873
::1, 2017-05-31 21:22:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 1.038390
::1, 2017-05-31 21:22:21, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.038242
::1, 2017-05-31 21:22:31, GET, /admin/default/edit/Corpus/views/default/index.html, HTTP/1.1, 200, 0.061013
::1, 2017-05-31 21:22:50, POST, /admin/default/create_file, HTTP/1.1, 200, 0.042475
::1, 2017-05-31 21:22:50, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.105025
::1, 2017-05-31 21:22:50, GET, /admin/default/edit/Corpus/views/default/other.html, HTTP/1.1, 200, 0.153736
::1, 2017-05-31 21:22:50, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.063873
::1, 2017-05-31 21:22:55, GET, /Corpus/default/btn1, HTTP/1.1, 200, 0.088521
::1, 2017-05-31 21:23:01, POST, /Corpus/default/btn1, HTTP/1.1, 303, 0.066097
::1, 2017-05-31 21:23:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.074671
::1, 2017-05-31 21:23:03, GET, /Corpus/default/other, HTTP/1.1, 200, 1.779833
::1, 2017-05-31 21:23:04, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 2.040772
::1, 2017-05-31 21:23:36, GET, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.067836
::1, 2017-05-31 21:23:49, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.062489
::1, 2017-05-31 21:23:53, GET, /Corpus/default/other, HTTP/1.1, 200, 1.605818
::1, 2017-05-31 21:23:54, GET, /Corpus/static/images/favicon.ico, HTTP/1.1, 200, 0.001158
::1, 2017-05-31 21:24:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.148024
::1, 2017-05-31 21:24:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.940581
::1, 2017-05-31 21:24:20, POST, /admin/default/edit/Corpus/views/default/other.html, HTTP/1.1, 200, 0.034870
::1, 2017-05-31 21:24:22, POST, /admin/default/edit/Corpus/views/default/other.html, HTTP/1.1, 200, 0.058165
::1, 2017-05-31 21:24:25, GET, /Corpus/default/other, HTTP/1.1, 200, 1.680910
::1, 2017-05-31 21:24:26, GET, /Corpus/static/images/favicon.ico, HTTP/1.1, 200, 0.001172
::1, 2017-05-31 21:25:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.129184
::1, 2017-05-31 21:25:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 1.038667
::1, 2017-05-31 21:25:07, POST, /admin/default/edit/Corpus/views/default/other.html, HTTP/1.1, 200, 0.058962
::1, 2017-05-31 21:25:11, GET, /Corpus/default/other, HTTP/1.1, 500, 1.723953
::1, 2017-05-31 21:25:11, GET, /favicon.ico, HTTP/1.1, 400, 0.001140
::1, 2017-05-31 21:25:13, GET, /admin/default/ticket/Corpus/__1.2017-05-31.21-25-09.58102b73-c887-4eed-812a-f14055e3fde5, HTTP/1.1, 200, 0.180992
::1, 2017-05-31 21:25:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000604
::1, 2017-05-31 21:25:28, POST, /admin/default/edit/Corpus/views/default/other.html, HTTP/1.1, 200, 0.051494
::1, 2017-05-31 21:25:32, GET, /Corpus/default/other, HTTP/1.1, 500, 1.775926
::1, 2017-05-31 21:25:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000936
::1, 2017-05-31 21:25:36, POST, /admin/default/edit/Corpus/views/default/other.html, HTTP/1.1, 200, 0.060319
::1, 2017-05-31 21:25:39, GET, /Corpus/default/other, HTTP/1.1, 200, 1.613789
::1, 2017-05-31 21:25:41, GET, /Corpus/static/images/favicon.ico, HTTP/1.1, 200, 0.000654
::1, 2017-05-31 21:25:56, POST, /admin/default/edit/Corpus/views/default/other.html, HTTP/1.1, 200, 0.058603
::1, 2017-05-31 21:25:59, GET, /Corpus/default/other, HTTP/1.1, 200, 1.660103
::1, 2017-05-31 21:26:00, GET, /Corpus/static/images/favicon.ico, HTTP/1.1, 200, 0.000691
::1, 2017-05-31 21:26:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.046417
::1, 2017-05-31 21:26:02, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.791450
::1, 2017-05-31 21:27:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.121896
::1, 2017-05-31 21:27:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 1.040704
::1, 2017-05-31 21:27:09, POST, /admin/default/edit/Corpus/views/default/other.html, HTTP/1.1, 200, 0.057543
::1, 2017-05-31 21:27:12, GET, /Corpus/default/other, HTTP/1.1, 200, 1.652079
::1, 2017-05-31 21:27:13, GET, /Corpus/static/images/favicon.ico, HTTP/1.1, 200, 0.001167
::1, 2017-05-31 21:28:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.130399
::1, 2017-05-31 21:28:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.937462
::1, 2017-05-31 21:29:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.114310
::1, 2017-05-31 21:29:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 1.036418
::1, 2017-05-31 21:29:33, POST, /admin/default/edit/Corpus/views/default/other.html, HTTP/1.1, 200, 0.051111
::1, 2017-05-31 21:29:36, GET, /Corpus/default/other, HTTP/1.1, 500, 1.804380
::1, 2017-05-31 21:29:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000890
::1, 2017-05-31 21:29:38, GET, /admin/default/ticket/Corpus/__1.2017-05-31.21-29-35.2b8c798a-07e9-4461-9e51-7d8097f49161, HTTP/1.1, 200, 0.205276
::1, 2017-05-31 21:29:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000797
::1, 2017-05-31 21:30:01, GET, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.060500
::1, 2017-05-31 21:30:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.134135
::1, 2017-05-31 21:30:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 1.040518
::1, 2017-05-31 21:30:26, POST, /admin/default/edit/Corpus/views/default/other.html, HTTP/1.1, 200, 0.052324
::1, 2017-05-31 21:30:30, GET, /Corpus/default/other, HTTP/1.1, 200, 1.653597
::1, 2017-05-31 21:30:31, GET, /Corpus/static/images/favicon.ico, HTTP/1.1, 200, 0.000708
::1, 2017-05-31 21:30:45, POST, /admin/default/edit/Corpus/views/default/other.html, HTTP/1.1, 200, 0.059393
::1, 2017-05-31 21:30:48, GET, /Corpus/default/other, HTTP/1.1, 500, 1.831711
::1, 2017-05-31 21:30:48, GET, /favicon.ico, HTTP/1.1, 400, 0.001036
::1, 2017-05-31 21:30:50, GET, /admin/default/ticket/Corpus/__1.2017-05-31.21-30-46.17085ec0-77c4-4f95-945d-9fb31e5cafe5, HTTP/1.1, 200, 0.210041
::1, 2017-05-31 21:30:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000858
::1, 2017-05-31 21:31:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.133783
::1, 2017-05-31 21:31:02, POST, /admin/default/edit/Corpus/views/default/other.html, HTTP/1.1, 200, 0.061892
::1, 2017-05-31 21:31:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 1.038814
::1, 2017-05-31 21:31:07, GET, /Corpus/default/other, HTTP/1.1, 500, 1.730987
::1, 2017-05-31 21:31:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000865
::1, 2017-05-31 21:31:08, GET, /admin/default/ticket/Corpus/__1.2017-05-31.21-31-05.3ccbba5e-f648-498b-a4c3-bdabc7136048, HTTP/1.1, 200, 0.206984
::1, 2017-05-31 21:31:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000713
::1, 2017-05-31 21:31:20, POST, /admin/default/edit/Corpus/views/default/other.html, HTTP/1.1, 200, 0.055320
::1, 2017-05-31 21:31:20, POST, /admin/default/edit/Corpus/views/default/other.html, HTTP/1.1, 200, 0.060616
::1, 2017-05-31 21:31:24, GET, /Corpus/default/other, HTTP/1.1, 200, 1.640324
::1, 2017-05-31 21:31:24, GET, /Corpus/static/images/favicon.ico, HTTP/1.1, 200, 0.001181
::1, 2017-05-31 21:32:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.108724
::1, 2017-05-31 21:32:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.939031
::1, 2017-05-31 21:33:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.157641
::1, 2017-05-31 21:33:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.939731
::1, 2017-05-31 21:34:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.146503
::1, 2017-05-31 21:34:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 1.033083
::1, 2017-05-31 21:34:11, POST, /admin/default/edit/Corpus/views/default/other.html, HTTP/1.1, 200, 0.057187
::1, 2017-05-31 21:34:19, POST, /admin/default/edit/Corpus/views/default/other.html, HTTP/1.1, 200, 0.060787
::1, 2017-05-31 21:34:22, GET, /Corpus/default/other, HTTP/1.1, 200, 1.637945
::1, 2017-05-31 21:34:23, GET, /Corpus/static/images/favicon.ico, HTTP/1.1, 200, 0.000657
::1, 2017-05-31 21:34:28, POST, /admin/default/edit/Corpus/views/default/other.html, HTTP/1.1, 200, 0.055086
::1, 2017-05-31 21:34:31, GET, /Corpus/default/other, HTTP/1.1, 200, 1.653575
::1, 2017-05-31 21:34:32, GET, /Corpus/static/images/favicon.ico, HTTP/1.1, 200, 0.000692
::1, 2017-05-31 21:34:41, POST, /admin/default/edit/Corpus/views/default/other.html, HTTP/1.1, 200, 0.052769
::1, 2017-05-31 21:34:44, GET, /Corpus/default/other, HTTP/1.1, 200, 1.683355
::1, 2017-05-31 21:34:44, GET, /Corpus/static/images/favicon.ico, HTTP/1.1, 200, 0.000892
::1, 2017-05-31 21:35:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.122654
::1, 2017-05-31 21:35:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 1.036020
::1, 2017-05-31 21:35:03, POST, /admin/default/edit/Corpus/views/default/other.html, HTTP/1.1, 200, 0.052021
